Name,Easting,Northing,Elevation,Description,Longitude,Latitude,Ellipsoidal height,Easting RMS,Northing RMS,Elevation RMS,Lateral RMS,Antenna height,Antenna height units,Solution status,Averaging start,Averaging end,Samples,PDOP,Base easting,Base northing,Base elevation,Base longitude,Base latitude,Base ellipsoidal height,Baseline,CS name
30,,,,,-114.38391427,43.33897693,1467.901,,,,,1.886,m,FIX,2022-06-03 10:39:06.4 UTC-06:00,2022-06-03 10:39:06.4 UTC-06:00,1,1.3,,,,-114.3834972,43.33865517,1462.44,48.26,Global CS
31,,,,,-114.38392344,43.33897733,1467.918,,,,,1.886,m,FIX,2022-06-03 10:39:15.6 UTC-06:00,2022-06-03 10:39:15.6 UTC-06:00,1,1.3,,,,-114.3834972,43.33865517,1462.44,48.817,Global CS
32,,,,,-114.38392385,43.33897028,1467.912,,,,,1.886,m,FIX,2022-06-03 10:39:22.8 UTC-06:00,2022-06-03 10:39:22.8 UTC-06:00,1,1.3,,,,-114.3834972,43.33865517,1462.44,48.3,Global CS
33,,,,,-114.38391514,43.33897083,1467.859,,,,,1.886,m,FIX,2022-06-03 10:39:31.0 UTC-06:00,2022-06-03 10:39:31.0 UTC-06:00,1,1.3,,,,-114.3834972,43.33865517,1462.44,47.829,Global CS
34,,,,,-114.38378692,43.33888161,1467.215,,,,,1.886,m,FIX,2022-06-03 10:39:53.4 UTC-06:00,2022-06-03 10:39:53.4 UTC-06:00,1,1.3,,,,-114.3834972,43.33865517,1462.44,33.449,Global CS
35,,,,,-114.38378785,43.33888726,1467.217,,,,,1.886,m,FIX,2022-06-03 10:40:00.8 UTC-06:00,2022-06-03 10:40:00.8 UTC-06:00,1,1.3,,,,-114.3834972,43.33865517,1462.44,33.945,Global CS
36,,,,,-114.38379601,43.33888653,1467.261,,,,,1.886,m,FIX,2022-06-03 10:40:08.2 UTC-06:00,2022-06-03 10:40:08.2 UTC-06:00,1,1.3,,,,-114.3834972,43.33865517,1462.44,34.359,Global CS
37,,,,,-114.38379363,43.33887989,1467.247,,,,,1.886,m,FIX,2022-06-03 10:40:15.0 UTC-06:00,2022-06-03 10:40:15.0 UTC-06:00,1,1.3,,,,-114.3834972,43.33865517,1462.44,33.708,Global CS
38,,,,,-114.38403001,43.33903051,1468.848,,,,,1.886,m,FIX,2022-06-03 10:41:17.6 UTC-06:00,2022-06-03 10:41:17.6 UTC-06:00,1,1.3,,,,-114.3834972,43.33865517,1462.44,59.191,Global CS
39,,,,,-114.38403721,43.33903373,1468.889,,,,,1.886,m,FIX,2022-06-03 10:41:25.8 UTC-06:00,2022-06-03 10:41:25.8 UTC-06:00,1,1.3,,,,-114.3834972,43.33865517,1462.44,59.865,Global CS
40,,,,,-114.38404150,43.33902861,1468.892,,,,,1.886,m,FIX,2022-06-03 10:41:33.0 UTC-06:00,2022-06-03 10:41:33.0 UTC-06:00,1,1.3,,,,-114.3834972,43.33865517,1462.44,59.746,Global CS
41,,,,,-114.38403401,43.33902496,1468.843,,,,,1.886,m,FIX,2022-06-03 10:41:40.8 UTC-06:00,2022-06-03 10:41:40.8 UTC-06:00,1,1.3,,,,-114.3834972,43.33865517,1462.44,59.02,Global CS
42,,,,,-114.38398260,43.33906712,1468.569,,,,,1.886,m,FIX,2022-06-03 10:41:59.4 UTC-06:00,2022-06-03 10:41:59.4 UTC-06:00,1,1.3,,,,-114.3834972,43.33865517,1462.44,59.357,Global CS
43,,,,,-114.38397603,43.33906614,1468.493,,,,,1.886,m,FIX,2022-06-03 10:42:07.2 UTC-06:00,2022-06-03 10:42:07.2 UTC-06:00,1,1.3,,,,-114.3834972,43.33865517,1462.44,58.918,Global CS
44,,,,,-114.38397486,43.33907032,1468.498,,,,,1.886,m,FIX,2022-06-03 10:42:16.0 UTC-06:00,2022-06-03 10:42:16.0 UTC-06:00,1,1.3,,,,-114.3834972,43.33865517,1462.44,59.204,Global CS
45,,,,,-114.38398127,43.33907202,1468.552,,,,,1.886,m,FIX,2022-06-03 10:42:24.4 UTC-06:00,2022-06-03 10:42:24.4 UTC-06:00,1,1.3,,,,-114.3834972,43.33865517,1462.44,59.688,Global CS
46,,,,,-114.38406589,43.33898661,1468.863,,,,,1.886,m,FIX,2022-06-03 10:43:15.2 UTC-06:00,2022-06-03 10:43:15.2 UTC-06:00,1,1.3,,,,-114.3834972,43.33865517,1462.44,58.311,Global CS
47,,,,,-114.38405435,43.33900033,1468.851,,,,,1.886,m,FIX,2022-06-03 10:43:25.0 UTC-06:00,2022-06-03 10:43:25.0 UTC-06:00,1,1.4,,,,-114.3834972,43.33865517,1462.44,58.508,Global CS
48,,,,,-114.38404409,43.33899392,1468.733,,,,,1.886,m,FIX,2022-06-03 10:43:38.6 UTC-06:00,2022-06-03 10:43:38.6 UTC-06:00,1,1.4,,,,-114.3834972,43.33865517,1462.44,57.407,Global CS
49,,,,,-114.38405352,43.33898141,1468.751,,,,,1.886,m,FIX,2022-06-03 10:43:48.4 UTC-06:00,2022-06-03 10:43:48.4 UTC-06:00,1,1.4,,,,-114.3834972,43.33865517,1462.44,57.157,Global CS
50,,,,,-114.38406846,43.33899587,1468.911,,,,,1.886,m,FIX,2022-06-03 10:44:07.2 UTC-06:00,2022-06-03 10:44:07.2 UTC-06:00,1,1.4,,,,-114.3834972,43.33865517,1462.44,59.103,Global CS
51,,,,,-114.38406467,43.33899987,1468.928,,,,,1.886,m,FIX,2022-06-03 10:44:16.2 UTC-06:00,2022-06-03 10:44:16.2 UTC-06:00,1,1.4,,,,-114.3834972,43.33865517,1462.44,59.131,Global CS
52,,,,,-114.38405914,43.33899603,1468.850,,,,,1.886,m,FIX,2022-06-03 10:44:23.4 UTC-06:00,2022-06-03 10:44:23.4 UTC-06:00,1,1.4,,,,-114.3834972,43.33865517,1462.44,58.516,Global CS
53,,,,,-114.38406408,43.33899254,1468.878,,,,,1.886,m,FIX,2022-06-03 10:44:32.6 UTC-06:00,2022-06-03 10:44:32.6 UTC-06:00,1,1.4,,,,-114.3834972,43.33865517,1462.44,58.592,Global CS
54,,,,,-114.38390842,43.33902767,1467.945,,,,,1.886,m,FIX,2022-06-03 10:47:05.4 UTC-06:00,2022-06-03 10:47:05.4 UTC-06:00,1,1.4,,,,-114.3834972,43.33865517,1462.44,52.073,Global CS
56,,,,,-114.38392482,43.33902782,1468.095,,,,,1.886,m,FIX,2022-06-03 10:47:23.6 UTC-06:00,2022-06-03 10:47:23.6 UTC-06:00,1,1.4,,,,-114.3834972,43.33865517,1462.44,52.964,Global CS
57,,,,,-114.38391631,43.33902128,1467.973,,,,,1.886,m,FIX,2022-06-03 10:47:31.0 UTC-06:00,2022-06-03 10:47:31.0 UTC-06:00,1,1.4,,,,-114.3834972,43.33865517,1462.44,51.961,Global CS
58,,,,,-114.38412029,43.33898400,1469.280,,,,,1.886,m,FIX,2022-06-03 10:48:06.8 UTC-06:00,2022-06-03 10:48:06.8 UTC-06:00,1,1.4,,,,-114.3834972,43.33865517,1462.44,61.743,Global CS
59,,,,,-114.38411957,43.33898862,1469.313,,,,,1.886,m,FIX,2022-06-03 10:48:13.8 UTC-06:00,2022-06-03 10:48:13.8 UTC-06:00,1,1.4,,,,-114.3834972,43.33865517,1462.44,61.99,Global CS
60,,,,,-114.38412486,43.33898886,1469.304,,,,,1.886,m,FIX,2022-06-03 10:48:22.2 UTC-06:00,2022-06-03 10:48:22.2 UTC-06:00,1,1.4,,,,-114.3834972,43.33865517,1462.44,62.357,Global CS
61,,,,,-114.38412498,43.33898382,1469.286,,,,,1.886,m,FIX,2022-06-03 10:48:30.2 UTC-06:00,2022-06-03 10:48:30.2 UTC-06:00,1,1.4,,,,-114.3834972,43.33865517,1462.44,62.045,Global CS
62,,,,,-114.38425138,43.33902846,1470.358,,,,,1.886,m,FIX,2022-06-03 10:49:15.8 UTC-06:00,2022-06-03 10:49:15.8 UTC-06:00,1,1.4,,,,-114.3834972,43.33865517,1462.44,73.376,Global CS
63,,,,,-114.38425704,43.33902961,1470.430,,,,,1.886,m,FIX,2022-06-03 10:49:24.4 UTC-06:00,2022-06-03 10:49:24.4 UTC-06:00,1,1.4,,,,-114.3834972,43.33865517,1462.44,73.837,Global CS
64,,,,,-114.38425995,43.33902468,1470.383,,,,,1.886,m,FIX,2022-06-03 10:49:33.0 UTC-06:00,2022-06-03 10:49:33.0 UTC-06:00,1,1.4,,,,-114.3834972,43.33865517,1462.44,73.739,Global CS
65,,,,,-114.38425419,43.33902315,1470.324,,,,,1.886,m,FIX,2022-06-03 10:49:39.6 UTC-06:00,2022-06-03 10:49:39.6 UTC-06:00,1,1.4,,,,-114.3834972,43.33865517,1462.44,73.252,Global CS
66,,,,,-114.38424305,43.33905389,1470.348,,,,,1.886,m,FIX,2022-06-03 10:50:02.0 UTC-06:00,2022-06-03 10:50:02.0 UTC-06:00,1,1.4,,,,-114.3834972,43.33865517,1462.44,74.392,Global CS
67,,,,,-114.38424561,43.33905556,1470.379,,,,,1.886,m,FIX,2022-06-03 10:50:07.2 UTC-06:00,2022-06-03 10:50:07.2 UTC-06:00,1,1.4,,,,-114.3834972,43.33865517,1462.44,74.669,Global CS
68,,,,,-114.38424216,43.33905825,1470.334,,,,,1.886,m,FIX,2022-06-03 10:50:12.2 UTC-06:00,2022-06-03 10:50:12.2 UTC-06:00,1,1.4,,,,-114.3834972,43.33865517,1462.44,74.61,Global CS
69,,,,,-114.38423994,43.33905629,1470.351,,,,,1.886,m,FIX,2022-06-03 10:50:18.4 UTC-06:00,2022-06-03 10:50:18.4 UTC-06:00,1,1.4,,,,-114.3834972,43.33865517,1462.44,74.34,Global CS
70,,,,,-114.38419676,43.33908948,1470.173,,,,,1.886,m,FIX,2022-06-03 10:50:42.2 UTC-06:00,2022-06-03 10:50:42.2 UTC-06:00,1,1.4,,,,-114.3834972,43.33865517,1462.44,73.768,Global CS
71,,,,,-114.38419895,43.33908311,1470.156,,,,,1.886,m,FIX,2022-06-03 10:50:49.6 UTC-06:00,2022-06-03 10:50:49.6 UTC-06:00,1,1.4,,,,-114.3834972,43.33865517,1462.44,73.461,Global CS
72,,,,,-114.38419154,43.33908243,1470.134,,,,,1.886,m,FIX,2022-06-03 10:50:57.8 UTC-06:00,2022-06-03 10:50:57.8 UTC-06:00,1,1.4,,,,-114.3834972,43.33865517,1462.44,72.947,Global CS
73,,,,,-114.38419033,43.33908898,1470.128,,,,,1.886,m,FIX,2022-06-03 10:51:06.6 UTC-06:00,2022-06-03 10:51:06.6 UTC-06:00,1,1.4,,,,-114.3834972,43.33865517,1462.44,73.328,Global CS
74,,,,,-114.38423583,43.33893487,1469.782,,,,,1.886,m,FIX,2022-06-03 10:51:44.8 UTC-06:00,2022-06-03 10:51:44.8 UTC-06:00,1,1.4,,,,-114.3834972,43.33865517,1462.44,67.142,Global CS
75,,,,,-114.38423228,43.33894272,1469.793,,,,,1.886,m,FIX,2022-06-03 10:51:53.0 UTC-06:00,2022-06-03 10:51:53.0 UTC-06:00,1,1.4,,,,-114.3834972,43.33865517,1462.44,67.271,Global CS
76,,,,,-114.38422552,43.33894155,1469.746,,,,,1.886,m,FIX,2022-06-03 10:52:02.4 UTC-06:00,2022-06-03 10:52:02.4 UTC-06:00,1,1.4,,,,-114.3834972,43.33865517,1462.44,66.72,Global CS
77,,,,,-114.38422542,43.33893417,1469.747,,,,,1.886,m,FIX,2022-06-03 10:52:10.6 UTC-06:00,2022-06-03 10:52:10.6 UTC-06:00,1,1.4,,,,-114.3834972,43.33865517,1462.44,66.347,Global CS
78,,,,,-114.38440558,43.33931210,1470.805,,,,,1.886,m,FIX,2022-06-03 10:53:40.0 UTC-06:00,2022-06-03 10:53:40.0 UTC-06:00,1,1.4,,,,-114.3834972,43.33865517,1462.44,102.865,Global CS
79,,,,,-114.38441523,43.33929962,1470.741,,,,,1.886,m,FIX,2022-06-03 10:53:49.6 UTC-06:00,2022-06-03 10:53:49.6 UTC-06:00,1,1.4,,,,-114.3834972,43.33865517,1462.44,102.477,Global CS
80,,,,,-114.38443148,43.33930589,1470.835,,,,,1.886,m,FIX,2022-06-03 10:53:57.4 UTC-06:00,2022-06-03 10:53:57.4 UTC-06:00,1,1.4,,,,-114.3834972,43.33865517,1462.44,103.922,Global CS
81,,,,,-114.38441913,43.33931942,1470.853,,,,,1.886,m,FIX,2022-06-03 10:54:06.4 UTC-06:00,2022-06-03 10:54:06.4 UTC-06:00,1,1.4,,,,-114.3834972,43.33865517,1462.44,104.224,Global CS
82,,,,,-114.38434386,43.33964585,1471.516,,,,,1.886,m,FIX,2022-06-03 10:55:03.0 UTC-06:00,2022-06-03 10:55:03.0 UTC-06:00,1,1.4,,,,-114.3834972,43.33865517,1462.44,128.578,Global CS
83,,,,,-114.38433848,43.33965632,1471.548,,,,,1.886,m,FIX,2022-06-03 10:55:11.4 UTC-06:00,2022-06-03 10:55:11.4 UTC-06:00,1,1.4,,,,-114.3834972,43.33865517,1462.44,129.329,Global CS
84,,,,,-114.38434947,43.33966090,1471.615,,,,,1.886,m,FIX,2022-06-03 10:55:19.6 UTC-06:00,2022-06-03 10:55:19.6 UTC-06:00,1,1.4,,,,-114.3834972,43.33865517,1462.44,130.24,Global CS
85,,,,,-114.38435883,43.33965061,1471.616,,,,,1.886,m,FIX,2022-06-03 10:55:28.2 UTC-06:00,2022-06-03 10:55:28.2 UTC-06:00,1,1.4,,,,-114.3834972,43.33865517,1462.44,129.681,Global CS
86,,,,,-114.38444265,43.33980251,1473.243,,,,,1.886,m,FIX,2022-06-03 10:56:04.8 UTC-06:00,2022-06-03 10:56:04.8 UTC-06:00,1,1.4,,,,-114.3834972,43.33865517,1462.44,147.649,Global CS
87,,,,,-114.38444540,43.33980304,1473.253,,,,,1.886,m,FIX,2022-06-03 10:56:18.6 UTC-06:00,2022-06-03 10:56:18.6 UTC-06:00,1,1.4,,,,-114.3834972,43.33865517,1462.44,147.817,Global CS
88,,,,,-114.38445511,43.33980636,1473.331,,,,,1.886,m,FIX,2022-06-03 10:56:27.0 UTC-06:00,2022-06-03 10:56:27.0 UTC-06:00,1,1.4,,,,-114.3834972,43.33865517,1462.44,148.546,Global CS
89,,,,,-114.38445098,43.33981454,1473.397,,,,,1.886,m,FIX,2022-06-03 10:56:36.8 UTC-06:00,2022-06-03 10:56:36.8 UTC-06:00,1,1.4,,,,-114.3834972,43.33865517,1462.44,149.148,Global CS
90,,,,,-114.38444068,43.33981051,1473.308,,,,,1.886,m,FIX,2022-06-03 10:56:48.0 UTC-06:00,2022-06-03 10:56:48.0 UTC-06:00,1,1.4,,,,-114.3834972,43.33865517,1462.44,148.327,Global CS
91,,,,,-114.38446563,43.33993413,1474.577,,,,,1.886,m,FIX,2022-06-03 10:57:22.2 UTC-06:00,2022-06-03 10:57:22.2 UTC-06:00,1,1.4,,,,-114.3834972,43.33865517,1462.44,161.259,Global CS
92,,,,,-114.38447671,43.33994159,1474.716,,,,,1.886,m,FIX,2022-06-03 10:57:38.6 UTC-06:00,2022-06-03 10:57:38.6 UTC-06:00,1,1.4,,,,-114.3834972,43.33865517,1462.44,162.432,Global CS
